Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI
rho_pure_h_vap,Binary Density,p,0.0,0.0,0.0,0.0
rho_pure_h_vap,Binary Density,RMSE,0.013389017934752263,0.0004788883455853115,0.012432133349733702,0.01432920300331857
rho_pure_h_vap,Binary Density,MSE,-0.0032626657283278786,0.0007047769984796021,-0.004587842680813888,-0.001851179581035732
rho_pure_h_vap,Binary Density,MUE,0.010623756402177872,0.0004282900510519443,0.009788656484817254,0.01149168535609347
rho_pure_h_vap,Binary Density,Tau,0.9432719568595307,0.004644938009981168,0.9321721717559105,0.9506741210039981
h_mix_rho_x,Binary Excess Molar Volume,Slope,0.43435840997301883,0.04815406922503196,0.35024405279820425,0.5406428118066097
h_mix_rho_x,Binary Excess Molar Volume,Intercept,0.012522709912074586,0.013773701875999557,-0.014245623971117408,0.0401432766625745
h_mix_rho_x,Binary Excess Molar Volume,R,0.590596085826015,0.039982615011758156,0.5033362841338863,0.6572588360451672
h_mix_rho_x,Binary Excess Molar Volume,R^2,0.3488037365930096,0.04652007461821945,0.25334741492570834,0.431989177559448
h_mix_rho_x,Binary Excess Molar Volume,p,7.596242745831319e-35,3.5859488836371378e-19,2.569059042565835e-45,3.5447160993914414e-24
h_mix_rho_x,Binary Excess Molar Volume,RMSE,0.3509549633456869,0.024095119651978657,0.30758148905719784,0.40089726523578373
h_mix_rho_x,Binary Excess Molar Volume,MSE,-0.02343484391742923,0.018066763896560825,-0.058398228260683485,0.011990635784478286
h_mix_rho_x,Binary Excess Molar Volume,MUE,0.22866264161583763,0.014224123170395703,0.20563120151830377,0.26092377919583204
h_mix_rho_x,Binary Excess Molar Volume,Tau,0.4282909839309745,0.0359741224050715,0.347586013888748,0.489781312212579
h_mix_rho_x_rho_pure,Binary Excess Molar Volume,Slope,0.4464649554731269,0.04848578357808424,0.3616453536936436,0.5525389281176524
h_mix_rho_x_rho_pure,Binary Excess Molar Volume,Intercept,0.0001174215088543748,0.014085319022875815,-0.02756406632864783,0.02771946815792927
h_mix_rho_x_rho_pure,Binary Excess Molar Volume,R,0.5858970176439182,0.04205400474918243,0.49680231542594505,0.6590185115415294
h_mix_rho_x_rho_pure,Binary Excess Molar Volume,R^2,0.3432753152840378,0.04860613101786654,0.2468125406125802,0.43430539855441286
h_mix_rho_x_rho_pure,Binary Excess Molar Volume,p,5.220241636657905e-34,2.9252372697858336e-19,2.3257588981557562e-45,1.8438545830201947e-23
h_mix_rho_x_rho_pure,Binary Excess Molar Volume,RMSE,0.34948761372002446,0.023590315772460145,0.307591207355639,0.4007113723704609
h_mix_rho_x_rho_pure,Binary Excess Molar Volume,MSE,-0.032609079898386704,0.018391739903752313,-0.06840265532193049,0.004094992275088237
h_mix_rho_x_rho_pure,Binary Excess Molar Volume,MUE,0.22620221656191888,0.014166426140745323,0.20437581294877985,0.2612435464297949
h_mix_rho_x_rho_pure,Binary Excess Molar Volume,Tau,0.4403420007685411,0.035915163295429785,0.3580857317690958,0.49957193368679353
h_mix_rho_x_rho_pure_h_vap,Binary Excess Molar Volume,Slope,0.4616224314845601,0.049335504546809725,0.3714663037405375,0.5629127277404693
h_mix_rho_x_rho_pure_h_vap,Binary Excess Molar Volume,Intercept,-0.04252525936582045,0.016886203735497735,-0.07585676479085231,-0.009409506476110257
h_mix_rho_x_rho_pure_h_vap,Binary Excess Molar Volume,R,0.5385934536976906,0.04488523120958301,0.4409467098043712,0.6185085844652487
h_mix_rho_x_rho_pure_h_vap,Binary Excess Molar Volume,R^2,0.2900829083660064,0.0476278824027865,0.1944340008873003,0.3825528690572057
h_mix_rho_x_rho_pure_h_vap,Binary Excess Molar Volume,p,3.6031750921607643e-28,2.7040023410585325e-12,6.764869136803675e-39,2.291681337674944e-18
h_mix_rho_x_rho_pure_h_vap,Binary Excess Molar Volume,RMSE,0.39229993996984264,0.023445451238453728,0.34837403738130895,0.4409071550700161
h_mix_rho_x_rho_pure_h_vap,Binary Excess Molar Volume,MSE,-0.07674965294262213,0.020910618879072907,-0.1181266111967858,-0.037302904660315044
h_mix_rho_x_rho_pure_h_vap,Binary Excess Molar Volume,MUE,0.2547362698131652,0.015541413016833395,0.23013022065356611,0.29110032804193253
h_mix_rho_x_rho_pure_h_vap,Binary Excess Molar Volume,Tau,0.42005857674344976,0.037867370810944684,0.3316483454107556,0.48002808860495816
openff-1.0.0,Binary Excess Molar Volume,Slope,0.47438930976999943,0.049307708945022795,0.3860531271352323,0.580083893751922
openff-1.0.0,Binary Excess Molar Volume,Intercept,0.02676783202045255,0.012480724150005161,0.0014466662272181116,0.04944439480236951
openff-1.0.0,Binary Excess Molar Volume,R,0.6576999004868911,0.03644228338221427,0.5781232913961388,0.7214968815825243
openff-1.0.0,Binary Excess Molar Volume,R^2,0.43256915910046645,0.04740601802183629,0.33422654005470487,0.5205577501333072
openff-1.0.0,Binary Excess Molar Volume,p,1.7787212140848817e-45,5.394451497840688e-29,1.8609762823471338e-58,5.0557016901292144e-33
openff-1.0.0,Binary Excess Molar Volume,RMSE,0.32294459105727025,0.02440790726975119,0.27583949302311417,0.3714103049050433
openff-1.0.0,Binary Excess Molar Volume,MSE,-0.006644977469751978,0.01724140195124747,-0.04047199172868739,0.026841260757496505
openff-1.0.0,Binary Excess Molar Volume,MUE,0.20517438808084915,0.012907109860958842,0.18429141531653098,0.23557218479823797
openff-1.0.0,Binary Excess Molar Volume,Tau,0.48525290904773216,0.03198889372183333,0.41202264747095846,0.5374612092556554
rho_pure_h_vap,Binary Excess Molar Volume,Slope,0.36914388732032194,0.047997120703555975,0.2833355800762422,0.47018166369262987
rho_pure_h_vap,Binary Excess Molar Volume,Intercept,-0.08161787170254631,0.01844957826940651,-0.11909352774918733,-0.0462943789001785
rho_pure_h_vap,Binary Excess Molar Volume,R,0.408104322114798,0.04844102857300791,0.3123627503657825,0.49783199912482845
rho_pure_h_vap,Binary Excess Molar Volume,R^2,0.16654913772877883,0.03937902902959549,0.09757048781607615,0.2478366993526232
rho_pure_h_vap,Binary Excess Molar Volume,p,1.0144147387896458e-15,5.751361293186998e-07,1.1566943242148657e-23,1.7501457526439152e-09
rho_pure_h_vap,Binary Excess Molar Volume,RMSE,0.46022979577431583,0.027979324788870687,0.4056368460516835,0.5146315547680016
rho_pure_h_vap,Binary Excess Molar Volume,MSE,-0.12172108021885963,0.023256676722430904,-0.16826009778522338,-0.0770370656976763
rho_pure_h_vap,Binary Excess Molar Volume,MUE,0.2921928146674043,0.018834844692150427,0.26047323579716514,0.33474615288833465
rho_pure_h_vap,Binary Excess Molar Volume,Tau,0.35765059764109874,0.03742133462166789,0.2791618818544336,0.425493651543532
h_mix_rho_x,Binary Enthalpy Of Mixing,Slope,0.7868115750500201,0.08444165795673717,0.6088694328445626,0.9469616838409618
h_mix_rho_x,Binary Enthalpy Of Mixing,Intercept,0.1761736523948857,0.06196968528265201,0.06441101617039191,0.30149856198433
