Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_rho_x,Pure Density,MUE,0.014117413768363818,0.001974775920898739,0.009773387567785253,0.017346216081723285,alkane
h_mix_rho_x,Pure Density,Tau,0.7999999999999999,,0.0,0.9486832980505138,alkane
h_mix_rho_x_rho_pure,Pure Density,Slope,1.2214963576992806,,1.0669650396777053,1.3202952949033873,ester
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.19074470571913404,,-0.2805841237588853,-0.05494238508946325,ester
h_mix_rho_x_rho_pure,Pure Density,R,0.9992523184998503,0.04465108119579788,0.9981498708916459,0.9999986850603878,ester
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9985051960273262,0.04463170628665994,0.9963031647610093,0.9999973701225047,ester
h_mix_rho_x_rho_pure,Pure Density,p,2.453918286125452e-05,0.04467554101577313,1.8543671021126087e-09,9.573167193375226e-05,ester
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.021505415793153525,0.007165233556239144,0.002840956417207325,0.032247951571058524,ester
h_mix_rho_x_rho_pure,Pure Density,MSE,0.015143246645793584,0.006853982547587718,0.0026525233732547005,0.029154194162945846,ester
h_mix_rho_x_rho_pure,Pure Density,MUE,0.015143246645793584,0.006853982547587718,0.0026525233732547005,0.029154194162945846,ester
h_mix_rho_x_rho_pure,Pure Density,Tau,0.9999999999999999,,0.6324555320336759,0.9999999999999999,ester
h_mix_rho_x_rho_pure,Pure Density,Slope,1.0746470182364902,,0.7061088500332191,1.2075688309650925,ether
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.04353368995300677,,-0.1720879937238582,0.2362534837635626,ether
h_mix_rho_x_rho_pure,Pure Density,R,0.9982736566184467,0.1173946987217569,0.996560355618759,0.9999997977001034,ether
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9965502934983644,0.1173067455762983,0.9931325423909874,0.9999995954002477,ether
h_mix_rho_x_rho_pure,Pure Density,p,0.0017263433815533078,0.11739469872175688,2.0305100278951053e-07,0.0034449038602822903,ether
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.022746526573740954,0.007278429080127681,0.010171846229909368,0.035184165355324454,ether
h_mix_rho_x_rho_pure,Pure Density,MSE,0.01917745668501425,0.006266925215828247,0.010115008924917207,0.03288602830213572,ether
h_mix_rho_x_rho_pure,Pure Density,MUE,0.01917745668501425,0.006266925215828247,0.010115008924917207,0.03288602830213572,ether
h_mix_rho_x_rho_pure,Pure Density,Tau,1.0,,0.7071067811865477,1.0,ether
h_mix_rho_x_rho_pure,Pure Density,Slope,0.1899872920238107,0.7710634001131705,-0.8077775000713521,1.3761756927821462,alcohol
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.6495863910348001,0.6075096572914637,-0.2933632201227526,1.4312068288126327,alcohol
h_mix_rho_x_rho_pure,Pure Density,R,0.15910276998449252,0.38715385593616464,-0.7581761703190137,0.8384062400286549,alcohol
h_mix_rho_x_rho_pure,Pure Density,R^2,0.025313691416738334,0.2237299760046225,0.00012986877870378545,0.836239737343215,alcohol
h_mix_rho_x_rho_pure,Pure Density,p,0.733304358503315,0.30619902976010366,0.003945789153021052,0.9808843557766436,alcohol
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.01599798695515152,0.004561137360464404,0.0065783597675676065,0.023991986667298057,alcohol
h_mix_rho_x_rho_pure,Pure Density,MSE,0.008895036618716823,0.005056268818600954,-0.0003352990402793069,0.019656123978961944,alcohol
h_mix_rho_x_rho_pure,Pure Density,MUE,0.011865024699967577,0.004057361059475017,0.004996276510042482,0.020761040269610547,alcohol
h_mix_rho_x_rho_pure,Pure Density,Tau,-0.14285714285714288,0.33829580807018295,-0.7938841860374447,0.5143444998736397,alcohol
h_mix_rho_x_rho_pure,Pure Density,Slope,0.9821867462342667,,-2.705818612218393,,ketone
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.016153998769106614,,-0.0423673169664347,,ketone
h_mix_rho_x_rho_pure,Pure Density,R,0.9987380134271086,0.826965839274579,-0.999981589061676,0.9999999865979254,ketone
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9974776194643272,0.30807042617740155,0.0,0.9999999742031374,ketone
h_mix_rho_x_rho_pure,Pure Density,p,0.031986606766046005,0.3043003709058451,0.00010393318084853242,1.0,ketone
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.03232041082189577,0.002079440752486679,0.02889140390441933,0.0369664058695648,ketone
h_mix_rho_x_rho_pure,Pure Density,MSE,-0.03212827159357823,0.002037099399324074,-0.0369654118712236,-0.028885660282189456,ketone
h_mix_rho_x_rho_pure,Pure Density,MUE,0.03212827159357823,0.002037099399324074,0.02889014593683133,0.036966304473016444,ketone
h_mix_rho_x_rho_pure,Pure Density,Tau,0.33333333333333337,,-0.816496580927726,,ketone
